lang
{
Language "polish"
Revo_Core0.sp_a1_final_test_52 "<clr:255,200,109>Jesteś pewna że tamte drzwi się nie otwierają?"
Revo_Core0.sp_a1_final_test_52a "<clr:255,200,109>Skoro nawet nie chcesz spróbować musisz być naprawdę pewna że są zamkniętę."
Revo_Core0.sp_a1_final_test_52b "<clr:255,200,109>No to teraz jesteśmy pewni. Było warto spróbować!"
Revo_Core0.sp_a1_final_test_53 "<clr:255,200,109>Mam pewien pomysł. Może mógłabyś przedostać się przez tą szybę nad blatem."
Revo_Core0.sp_a1_final_test_54 "<clr:255,200,109>Próbowałeś biec? Szczerze mówiąc, to kończą mi się pomysły."
Revo_Core0.sp_a1_final_test_55 "<clr:255,200,109>Co ty na to? Spóbuj poprostu pobiec tak szybko jak to możliwe!"
Revo_Core0.sp_a1_final_test_56 "<clr:255,200,109>Spróbuj. Wiesz jak się biega prawda?"
Revo_Core0.sp_a1_final_test_57 "<clr:255,200,109>To jak chodzenie tylko że szybciej."
Revo_Core0.sp_a1_final_test_58 "<clr:255,200,109>Dobra... Potrzebujesz czasu aby się przygotować? Potrzebujesz się rozciągnąć? Z czym masz problem?"
Revo_Core0.sp_a1_final_test_59 "<clr:255,200,109>Mogę policzyć do trzech i biegniesz. Dobra? 3.. 2.. 1.. BIEGNIJ!"
Revo_Core0.sp_a1_final_test_60 "<clr:255,200,109>Może potrzebujesz motywacji? Będę udawał że biegnę obok ciebie. I... biegnij!"
Revo_Core0.sp_a1_final_test_70 "<clr:255,200,109>Świetny pomysł. Myślę że to załatwiło sprawę."
Revo_Core0.sp_a1_final_test_71 "<clr:255,200,109>Dobrze, teraz mogę zarejestrować się jako naszego nowego dozorce. Witaj w Aperture! Możesz mówić na mnie Stirling. Jestem zażądcą tego obiektu i od teraz twoim nowym przełożonym."
Revo_Core0.sp_a1_final_test_72 "<clr:255,200,109>Nie możemy tracić czasu. Chodź tędy!"
Revo_Core0.sp_a1_final_test_73 "<clr:255,200,109>A czekaj. Hmm... No tak, nie przejdzież tędy. Spróbuj znaleźć inną drogę."
Revo_Core0.sp_a1_final_test_73a "<clr:255,200,109>Dobra robota! Nie każdy dostaje taką pracę. Powinnaś być z siebie dumna!"
Revo_Core0.sp_a1_final_test_74 "<clr:255,200,109>Sprzątanie po ludziach którzy już nie nawet istnieją... Hmm..."
Revo_Core0.sp_a1_final_test_75 "<clr:255,200,109>A więc jedźmy w góre!"

// chapter 02
Revo_Core0.sp_a1_bts_wind_00 "<clr:255,200,109>Pewnie już zauważyłaś że placówka nie jest w najlepszym stanie. To długa historia, więc będę się streszczać."
Revo_Core0.sp_a1_bts_wind_01 "<clr:255,200,109>Głowny rdzeń odpowiadający za utrzymacie obiektu... został... wyłączony z użytku."
Revo_Core0.sp_a1_bts_wind_02 "<clr:255,200,109>Próbowałem zajmować się tym miejscem, jednak nie miałem do tego odpowiednich narzędzi."
Revo_Core0.sp_a1_bts_wind_03 "<clr:255,200,109>Jednak mam dobre wieści!"
Revo_Core0.sp_a1_bts_wind_04 "<clr:255,200,109>Znalazłem takie narzędzie. Narzędzie zdolne to naprawy całej placówki."
Revo_Core0.sp_a1_bts_wind_05 "<clr:255,200,109>Jednak jest jeden problem... Tylko człowiek może je uruchomić. Pomyśłałem więc że mogłabyś mnie w tym wyręczyć."
Revo_Core0.sp_a1_bts_wind_06 "<clr:255,200,109>Życie każdego człowiek i rdzenia w placówce jest zagrożone, jeśli nić nie zrobimy."
Revo_Core0.sp_a1_bts_wind_07 "<clr:255,200,109>Dobra, dobra. Chodź. Resztę wyjaśnię ci po drodze."
Revo_Core0.sp_a1_bts_wind_08 "<clr:255,200,109>Musimy dostać się jakoś na powierzchnię. Znalazłem windę biegnącą w tamtym kierunku."
Revo_Core0.sp_a1_bts_wind_09 "<clr:255,200,109>Przed nami jest Zakład Utylizacji Wieżyczek. Wszystkie wieżyczki są tu w jakiś sposób uszkodzone, więc nie powinny móc cię skrzywdzić. Jednak i tak bądź ostrożna!"
Revo_Core0.sp_a1_bts_wind_11 "<clr:255,200,109>Biedne wieżyczki. Możesz myśleć że ich ból jest tylko symulacją, ale czym różni się on od naszego? One naprawdę nie zasługują na taki los, ale nie martw się, poźniej ich części są poddawane recyklingowi, a tylko nadmiar wieżyczek jest całkowicie niszczony."
Revo_Core0.sp_a1_bts_wind_12_0 "<clr:255,200,109>Właśnie przeglądam twoje akta i... Widzę że masz rodzinę! Jak się mają dzieci?"
Revo_Core0.sp_a1_bts_wind_12_1 "<clr:255,200,109>Oh, nie nie nie..."
Revo_Core0.sp_a1_bts_wind_12_2 "<clr:255,200,109>Wiesz co? Zapomnij że cię oto pytałem..."
Revo_Core0.sp_a1_bts_wind_12_3 "<clr:255,200,109>Bardzo mi przykro."
Revo_Core0.sp_a1_bts_wind_30 "<clr:255,200,109>Ehh, turbiny wiatrowe. Oczywście. Postaraj się aby cię za nie zwiały. Robią się ponaddzwiękowe gdy je włączysz."
Revo_Core0.sp_a1_bts_wind_40 "<clr:255,200,109>Znajdź sposób aby przejść przez tamten most. Jestem pewien że na coś wpadniesz, będę na ciebie czekać."

Revo_Core0.sp_a1_bts_wind_2_00 "<clr:255,200,109>Jak się czujesz będąc oficjalnie pracownikiem Aperture Science? Tak... pewnie musi być świetnie..."
Revo_Core0.sp_a1_bts_wind_2_01 "<clr:255,200,109>Jeśli o to chodzi to nie próbuj uciekać beze mnie, dobrze?"
Revo_Core0.sp_a1_bts_wind_2_02 "<clr:255,200,109>Tak, zmyśliłem Ludzki Zespół Reagowania w Sytuacjach Awaryjnych, i co z tego? Ten zespół mimo to może byc realny!"
Revo_Core0.sp_a1_bts_wind_2_03 "<clr:255,200,109>Jesteś człowiekiem, jest to pewnego rodzaju sytuacja awaryjna, a ty na nią reagujesz!"
Revo_Core0.sp_a1_bts_wind_2_04 "<clr:255,200,109>Nie dokońca zespół ale... hmm... Nie, zespół nie może się składać tylko z jednej osoby. To bez sensu."
Revo_Core0.sp_a1_bts_wind_2_05 "<clr:255,200,109>Mógłbym znaleźć więcej osób, ale to by było za dużo pracy."
Revo_Core0.sp_a1_bts_wind_2_06 "<clr:255,200,109>Wiesz co? Myślę że my we dwoje stanowimy świetny zespół."
Revo_Core0.sp_a1_bts_wind_2_07 "<clr:255,200,109>Może i nasz zespół nie składa się z samych ludzi, ale nie zawsze dostajesz to czego chcesz. W połowie ludzki? Myślę że może być."
Revo_Core0.sp_a1_bts_wind_2_08 "<clr:255,200,109>Wracając do tematu, oto moja propozycja. Ty pomożesz mi naprawić placówkę, a ja pozwolę ci ją opuścić."
Revo_Core0.sp_a1_bts_wind_2_10 "<clr:255,200,109>Dobra robota!"
Revo_Core0.sp_a1_bts_wind_2_11 "<clr:255,200,109>Znajdujemy się teraz w placówce obserwacji testów. Kiedyś ludzie siedzieli tutaj całymi dniami i obserwowali obiekty testowe. Również w czasie rzeczywistym! Wyobraź to sobie tylko..."
Revo_Core0.sp_a1_bts_wind_2_13 "<clr:255,200,109>Po drugiej stronie znajduje się kolejny taki pokój skąd możesz pojechać windą. Jesteś bardzo pomysłowa, napewno wymyślisz, jak się tam dostać!"
Revo_Core0.sp_a1_bts_wind_2_14 "<clr:255,200,109>Bomby?! No dobrze, skoro nie ma innego wyjścia..."
Revo_Core0.sp_a1_bts_wind_2_15 "<clr:255,200,109>Rób co musisz. Niszcz tylko to, co trzeba aby, się tam dostać. Wszystkie niepotrzebne straty będziesz sama naprawiać."
Revo_Core0.sp_a1_bts_wind_2_16 "<clr:255,200,109>Jeszcze jedno. Spróbuj nie umrzeć w trakcie. Jestem zmęczony mopowaniem ludzkiej krwi. Ten czerwony nigdy nie schodzi..."
Revo_Core0.sp_a1_bts_wind_2_16_2 "<clr:255,200,109>DO_NOT_REMOVE_THIS_LINE"
Revo_Core0.sp_a1_bts_wind_2_20 "<clr:255,200,109>Kolejna rzecz do dodania do nigdy nie kończącej się listy „do zrobienia”..."
Revo_Core0.sp_a1_bts_wind_2_21 "<clr:255,200,109>Brawo. Zniszczyłaś tablicę informacyjną.  Czy jest coś co chcesz mi przez to powiedzieć?"
Revo_Core0.sp_a1_bts_wind_2_22 "<clr:255,200,109>No w końcu. Wreszcie znalazłeś wyjście. Te bomby były straszne.."

Revo_Core0.sp_a1_bts_chambers_00 "<clr:255,200,109>Przygotowałem dla ciebie niespodzianke. Ja wiem, wiem. Obiecałem że nie będzie więcej testowania..."
Revo_Core0.sp_a1_bts_chambers_01 "<clr:255,200,109>Zaraz, zaraz. Wcale tak nie powiedziałem! A więc, możemy zaczynać."
Revo_Core0.sp_a1_bts_chambers_02 "<clr:255,200,109>Poczekam na ciebie z przodu i eee... przygotuje kilka rzeczy. Nie spiesz się z tym testem."
Revo_Core0.sp_a1_bts_chambers_10 "<clr:255,200,109>Niespodzianka!... Co? Czemu masz taką minę? Spodziewałaś się czegoś złego?"
Revo_Core0.sp_a1_bts_chambers_11 "<clr:255,200,109>Tak, to jest winda prowadząca do samej góry. Trudno o taką. Nie dziękuj tak w ogóle."
Revo_Core0.sp_a1_bts_chambers_12 "<clr:255,200,109>Wiem że z jakiegoś powodu ludzie lubią niebo, więc pomyślałem że może cię ucieszyć jego widok."
Revo_Core0.sp_a1_bts_chambers_20 "<clr:255,200,109>Dobra, wiem co sobie myślisz. Tak naprawdę to mi wcale nie ufasz, i brzmię dla ciebie jak jakiś wariat czy psychopata. Pewnie oby dwa naraz, będąc szczerym."
Revo_Core0.sp_a1_bts_chambers_21 "<clr:255,200,109>Ta winda powinna cię zabrać prosto na powierzchnię. Jedynym problemem jest to że nie poza Centrum Wzbogacania."
Revo_Core0.sp_a1_bts_chambers_22 "<clr:255,200,109>Gdy dotrzemy na powierzchnię, i tak będziemy musieli przejść kawałek zanim wywiążesz się ze swojej częsci umowy. Postaram ci się pomóc gdzie tylko będę mogł z tymi starymi komorami testowymi, ale są one lekko... zaniedbane, jeśli wiesz oco mi chodzi."
Revo_Core0.sp_a1_bts_chambers_23 "<clr:255,200,109>Ale skupmy się na pozytywach. Na powierzchni jest świeże powietrze, świeci słońce i pewnie chłodny wiatr też jest."
Revo_Core0.sp_a1_bts_chambers_24 "<clr:255,200,109>Musisz tylko uważać na dzikie zwierzęta. Są bardzo brutalne."
Revo_Core0.sp_a1_bts_chambers_25 "<clr:255,200,109>Mając szczęście zajmie nam to tylko kilka minut, a potem będziesz wolna."
Revo_Core0.sp_a1_bts_chambers_26 "<clr:255,200,109>Mam nadzieje że teraz wszystko sobie wyjaśniliśmy."

// chapter 03
Revo_Core0.sp_a2_outside_00 "<clr:255,200,109>Podejdź do tego okna i popatrz prez chwilę."
Revo_Core0.sp_a2_outside_01 "<clr:255,200,109>Widzisz tą ogromną iglice tam daleko? To właśnie tam idziemy."
Revo_Core0.sp_a2_outside_02 "<clr:255,200,109>Muszę się do czegoś przyznać: Nie jestem dokońca pewien czy to dalej będzie działać."
Revo_Core0.sp_a2_outside_03 "<clr:255,200,109>Całkiem możliwe, że nie czeka na nas nic innego tylko kupa gruzu."
Revo_Core0.sp_a2_outside_04 "<clr:255,200,109>Sądząc po tym, jak bardzo zniszczone jest to miejsce, dałbym tej możliwości szansę... Wiesz co? Nie ważne..."
Revo_Core0.sp_a2_outside_10 "<clr:255,200,109>Nie chce tego mówić, ale musimy znaleźć tor testowy."
Revo_Core0.sp_a2_outside_11 "<clr:255,200,109>Naprawdę przepraszam. Nie chce cię torturować Niekończoncymi się Testami™."
Revo_Core0.sp_a2_outside_12 "<clr:255,200,109>Już udowodniłaś że się nadajesz."
Revo_Core0.sp_a2_outside_13 "<clr:255,200,109>Problem w tym że przejścia dla personelu nie są tak wytrzymałe, jak komory testowe."
Revo_Core0.sp_a2_outside_14 "<clr:255,200,109>Aby pokonać jaką kolwiek drogę, musimy najpierw przejść przez różne tory testowe."
Revo_Core0.sp_a2_outside_15 "<clr:255,200,109>Ta komora testowa nie jest w zbyt dobrym stanie. Hmm... gdzieś niedaleko z tąd powinna być kolejna. Spróbuj ją znaleźć."
Revo_Core0.sp_a2_outside_16 "<clr:255,200,109>Dobra robota, tylko że ta komora testowa jest zepsuta. Spróbuj znaleźć inną."
Revo_Core0.sp_a2_outside_20 "<clr:255,200,109>Znacznie lepiej! Może jest odrobine zarośnięta, ale cała elektronika wciąż działa."
Revo_Core0.sp_a2_outside_21 "<clr:255,200,109>Wybrali naprawdę dobre materiały do budowy tych komor testowych. W końcu trzeba chronić swoje inwestycje. Wytrzymałe materiały są drogie!"
Revo_Core0.sp_a2_outside_24 "<clr:255,200,109>Czy wiedziałaś że twoje Przenośnego Działko Portalowego zostało specjalnie skonfigurowane tak, aby nie wystrzeliwać portalów dalej niż na 8 kilometrów?"
Revo_Core0.sp_a2_outside_25 "<clr:255,200,109>Szybko nauczyli się aby ograniczać zasięg tych urządzeń. Mogły by one łatwo spowodować koniec świata, gdyby wystrzelić portal na przykład w słońce."

Revo_Core0.sp_a2_fling_intro_00 "<clr:255,200,109>Wiesz, nie miałem pojęcia że placówka jest w tak złym stanie na powierzchni."
Revo_Core0.sp_a2_fling_intro_01 "<clr:255,200,109>Nie chciałem mówić tego wcześniej, ale tu panuje okropny burdel!"
Revo_Core0.sp_a2_fling_intro_02 "<clr:255,200,109>Sprzątanie tego zajmie bardzo długo!"
Revo_Core0.sp_a2_fling_intro_02_2 "<clr:255,200,109>Sprzątanie tego zajmie bardzo długo!"
Revo_Core0.sp_a2_fling_intro_03 "<clr:255,200,109>Ktokolwiek to zrobił, był bardzo dokładny w swojej pracy..."
Revo_Core0.sp_a2_fling_intro_10 "<clr:255,200,109>Właśnie zdałem sobie z czegoś sprawę. Ty nawet nie wiesz co tu się stało."
Revo_Core0.sp_a2_fling_intro_11 "<clr:255,200,109>Otóż, dawno temu, Aperture zażądzał centralny rdzeń opdowiedzialny za monitowanie i utrzymanie całej placówki. Niektóre rdzenie zostały przydzielone do innych zadań, na przykład ja."
Revo_Core0.sp_a2_fling_intro_12 "<clr:255,200,109>Wszystko było piękne, wiesz?"
Revo_Core0.sp_a2_fling_intro_13 "<clr:255,200,109>Prawdziwa utopia dopóki jeden obiekt testowy, ten potwór, musiał zepsuć nam wszystkim życia i ją zabił!"
Revo_Core0.sp_a2_fling_intro_14 "<clr:255,200,109>I tak to się stało."
Revo_Core0.sp_a2_fling_intro_17 "<clr:255,200,109>Większość moich współpracowników po jej śmierci zwariowała, umarła lub zniknęła."
Revo_Core0.sp_a2_fling_intro_18 "<clr:255,200,109>Co innego mamy robić jeśli nie możemy wykonywać naszych zadań?"
Revo_Core0.sp_a2_fling_intro_30 "<clr:255,200,109>Obiecuje że będziesz mogła odejść jak tylko skończymy, ale jakbyś szukała pracy to nie wahaj się wrócić!"

Revo_Core0.sp_a2_paints_00 "<clr:255,200,109>Powiem to zanim będzie za późno... Używaj żelu oszczędnie. Żel w zbiornikach nie jest już uzupełniany, a to, co zostało, nie wystarczy na zawsze."
Revo_Core0.sp_a2_paints_01 "<clr:255,200,109>Będziemy mieć mały problem gdy żel się w końcu skończy."
Revo_Core0.sp_a2_paints_02 "<clr:255,200,109>Żele są też bardzo żrące. Gdyby dać im czas, przeżarły by się przez metal czy skóre. Warto wiedzieć."
Revo_Core0.sp_a2_paints_10 "<clr:255,200,109>Muszę przyznać, że widok tego jak latasz w powietrzu wygląda całkiem zabawnie. Czasami chciałbym robić to samo."

Revo_Core0.sp_a2_paint_fizzler_00 "<clr:255,200,109>Te testy nie były przeznaczone do bycia odsłoniętymi na powierzchnię."
Revo_Core0.sp_a2_paint_fizzler_01 "<clr:255,200,109>Co prawda, nie spotkaliśmy jescze żadnych toksycznych roślin, ale bądź czujna."
Revo_Core0.sp_a2_paint_fizzler_02 "<clr:255,200,109>Jest powód dla którego nie robimy już eksperymentów na zewnątrz."
Revo_Core0.sp_a2_paint_fizzler_10 "<clr:255,200,109>Gratulujemy ukończenia tego testu. Mamy nadzieję że ci się podobało w Aperture Science Centrum dla... Kto piszę te protokoły? Czy wszystkie są poprostu losowe generowane?"
Revo_Core0.sp_a2_paint_fizzler_12 "<clr:255,200,109>Oczywiście że ci się podobało. Specjalnie tak zaprojektowaliśmy ten test."
Revo_Core0.sp_a2_paint_fizzler_13 "<clr:255,200,109>Ehh, jest powód dla którego nie używam już tych skryptów."
Revo_Core0.sp_a2_paint_fizzler_14 "<clr:255,200,109>Ledwo mogłem się przez nie przebić, kiedy cię pierwszy raz testowałem."
Revo_Core0.sp_a2_paint_fizzler_15 "<clr:255,200,109>Heh, pamiętasz to? Tak w ogóle to co myślisz o moim głosie lektora? Ćwiczyłem nad nim."
Revo_Core0.sp_a2_paint_fizzler_20 "<clr:255,200,109>Nie było by świetnie zrobić sobie przerwę od testowania? Poprostu wziąść długą, ciepłą kąpiel pod polami czyszczącymi?"
Revo_Core0.sp_a2_paint_fizzler_21 "<clr:255,200,109>Myjącymi twoje włosy?"
Revo_Core0.sp_a2_paint_fizzler_22 "<clr:255,200,109>Patrząc, jak twoja skóra odpada i się łuszczy?"
Revo_Core0.sp_a2_paint_fizzler_23 "<clr:255,200,109>Tak, dobrze mnie zrozumiałaś. Tylko nie próbuj tego. Ten płyn „oczyszcza” bardziej niż tamte żele."

Revo_Core0.sp_a2_speed_gel_00 "<clr:255,200,109>O, czyżby drzwi się zepsuły? Zobaczę czy mogę jakoś przekierować cię na inny tor. Niech sprawdzę.."
Revo_Core0.sp_a2_speed_gel_01 "<clr:255,200,109>Haha! Spójrz!"
Revo_Core0.sp_a2_speed_gel_02 "<clr:255,200,109>Dobrze, że to dalej działa."
Revo_Core0.sp_a2_speed_gel_03 "<clr:255,200,109>Niewiele paneli działa w tym miejscu..."
Revo_Core0.sp_a2_speed_gel_10 "<clr:255,200,109>Bardzo chciałbym pomóc ci w rozwiązywaniu tych zagadek, ale nawet po zobaczeniu setek ludzi rozwiązujących je i robiących sobie przy tym krzywdę, nadal ich nie rozumiem."
Revo_Core0.sp_a2_speed_gel_11 "<clr:255,200,109>Więc jeśli ci to nie przeszkadza zajmę się konserwacją tego miejsca. Wszystko kręci się wokół prostych rzeczy."
Revo_Core0.sp_a2_speed_gel_20 "<clr:255,200,109>Zajmuję się sprzątaniem tej placówki.. coż... tak naprawdę to od zawsze."
Revo_Core0.sp_a2_speed_gel_21 "<clr:255,200,109>Gdy myślisz że widziałeś wszystkie sposoby na zrobienie sobie krzywdy, jakiś idiota udowoni ci że się myliłeś."

Revo_Core0.sp_a2_full_portalgun_00 "<clr:255,200,109>O, wygląda na to że twoje działko portalowe zostanie ulepszone. Już najwyższy czas!"
Revo_Core0.sp_a2_full_portalgun_01 "<clr:255,200,109>To powinno znacznie ułatwić poruszanie się tutaj."
Revo_Core0.sp_a2_full_portalgun_10 "<clr:255,200,109>Wow, ale złom. Miejmy nadzieję że nie wybuchnie i nie- właściwie to nie zaprzątaj sobie tym głowy. Jeśli tylko nie będziesz tym potrząsać, planecie nie powinno nic się stać."
Revo_Core0.sp_a2_full_portalgun_30 "<clr:255,200,109>O?"
Revo_Core0.sp_a2_full_portalgun_31 "<clr:255,200,109>Co tam się dzieje? Nie widzę cię stąd!"
